Products,Sum
"{'Козел', 'Донской табак'}",215.0
"{'Ласточка', 'Дирол'}",350.0
"{'Жатецкий гусь', 'Бородинский', 'Кент'}",319.0
"{'Молоко парное', 'Капуста', 'Козел'}",405.0
"{'Апельсин', 'Капуста'}",290.0
"{'Дирол', 'Твикс'}",210.0
"{'Апельсин', 'Помидоры'}",210.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Апельсин', 'Огурцы'}",180.0
"{'Донской табак', 'Дирол'}",340.0
"{'Дирол', 'Милкивей'}",280.0
"{'Козел', 'Домашний', 'Помидоры'}",321.0
"{'Молоко пастеризованное', 'Дирол', 'Кент'}",370.0
"{'Козел', 'Кент'}",275.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Яблоко', 'Помидоры'}",200.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Киткат', 'Дирол'}",205.0
"{'Яблоко', 'Милкивей'}",220.0
"{'Огурцы', 'Молоко пастеризованное', 'Помидоры'}",360.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Яблоко', 'Твикс'}",150.0
"{'Апельсин', 'Дирол', 'Кент'}",350.0
"{'Степ', 'Дирол'}",200.0
"{'Козел', 'Кент'}",275.0
"{'Жатецкий гусь', 'Домашний', 'Кент'}",376.0
"{'Апельсин', 'Твикс'}",160.0
"{'Степ', 'Яблоко'}",140.0
"{'Козел', 'Донской табак'}",215.0
"{'Яблоко', 'Помидоры'}",200.0
"{'Молоко парное', 'Огурцы', 'Твикс', 'Домашний'}",416.0
"{'Молоко пастеризованное', 'Жатецкий гусь', 'Бородинский'}",189.0
"{'Молоко пастеризованное', 'Степ', 'Дирол', 'Домашний'}",356.0
"{'Степ', 'Яблоко'}",140.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Огурцы', 'Донской табак', 'Дирол'}",370.0
"{'Козел', 'Донской табак'}",215.0
"{'Помидоры', 'Дирол', 'Кент'}",460.0
"{'Мандарин', 'Помидоры'}",220.0
"{'Яблоко', 'Твикс'}",150.0
"{'Марс', 'Апельсин'}",200.0
"{'Степ', 'Яблоко'}",140.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Степ', 'Дирол'}",200.0
"{'Капуста', 'Яблоко'}",280.0
"{'Помидоры', 'Дирол', 'Кент'}",460.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Молоко пастеризованное', 'Жатецкий гусь', 'Твикс', 'Бородинский'}",299.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Апельсин', 'Степ'}",150.0
"{'Огурцы', 'Молоко пастеризованное', 'Кент'}",400.0
"{'Яблоко', 'Сникерс'}",170.0
"{'Ласточка', 'Дирол'}",350.0
"{'Огурцы', 'Молоко ультрапастеризованное', 'Домашний'}",266.0
"{'Апельсин', 'Огурцы'}",180.0
"{'Огурцы', 'Молоко пастеризованное'}",330.0
"{'Молоко парное', 'Огурцы'}",350.0
"{'Огурцы', 'Молоко пастеризованное', 'Помидоры'}",360.0
"{'Дирол', 'Твикс'}",210.0
"{'Молоко парное', 'Бородинский', 'Милкивей', 'Домашний'}",385.0
"{'Марс', 'Молоко пастеризованное', 'Жатецкий гусь', 'Домашний'}",396.0
"{'Молоко парное', 'Марс', 'Домашний'}",416.0
"{'Дирол', 'Сникерс'}",230.0
"{'Жатецкий гусь', 'Донской табак', 'Дирол'}",330.0
"{'Апельсин', 'Твикс'}",160.0
"{'Ласточка', 'Молоко пастеризованное', 'Киткат', 'Бородинский'}",454.0
"{'Бочка', 'Кент'}",260.0
"{'Киткат', 'Дирол'}",205.0
"{'Апельсин', 'Киткат'}",155.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Жатецкий гусь', 'Молоко пастеризованное', 'Киткат', 'Бородинский'}",294.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Ласточка', 'Яблоко'}",290.0
"{'Молоко пастеризованное', 'Яблоко', 'Помидоры'}",270.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Яблоко', 'Помидоры'}",200.0
"{'Молоко парное', 'Огурцы', 'Козел'}",295.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Степ', 'Дирол'}",200.0
"{'Донской табак', 'Дирол', 'Кент'}",440.0
"{'Бородинский', 'Донской табак', 'Дирол'}",269.0
"{'Марс', 'Дирол'}",250.0
"{'Марс', 'Апельсин'}",200.0
"{'Донской табак', 'Дирол', 'Киткат'}",345.0
"{'Козел', 'Кент'}",275.0
"{'Твикс', 'Мандарин'}",170.0
"{'Апельсин', 'Дирол', 'Кент'}",350.0
"{'Молоко парное', 'Помидоры'}",340.0
"{'Козел', 'Кент'}",275.0
"{'Молоко пастеризованное', 'Дирол', 'Милкивей', 'Домашний'}",436.0
"{'Молоко пастеризованное', 'Огурцы', 'Помидоры'}",360.0
"{'Яблоко', 'Милкивей'}",220.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Марс', 'Дирол'}",250.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Ласточка', 'Огурцы', 'Молоко пастеризованное'}",450.0
"{'Молоко пастеризованное', 'Степ', 'Яблоко', 'Домашний'}",296.0
"{'Марс', 'Дирол'}",250.0
"{'Жатецкий гусь', 'Дирол', 'Кент'}",390.0
"{'Ласточка', 'Дирол'}",350.0
"{'Яблоко', 'Киткат'}",145.0
"{'Молоко пастеризованное', 'Жатецкий гусь', 'Домашний'}",246.0
"{'Молоко пастеризованное', 'Донской табак', 'Милкивей', 'Домашний'}",476.0
"{'Дирол', 'Твикс'}",210.0
"{'Козел', 'Донской табак'}",215.0
"{'Дирол', 'Кент'}",400.0
"{'Апельсин', 'Огурцы'}",180.0
"{'Марс', 'Молоко пастеризованное', 'Домашний', 'Кент'}",506.0
"{'Донской табак', 'Дирол'}",340.0
"{'Молоко парное', 'Марс', 'Милкивей', 'Бородинский'}",449.0
"{'Яблоко', 'Дирол', 'Кент'}",340.0
"{'Жатецкий гусь', 'Домашний', 'Кент'}",376.0
"{'Ласточка', 'Яблоко'}",290.0
"{'Сникерс', 'Дирол', 'Кент'}",430.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Степ', 'Дирол'}",200.0
"{'Молоко пастеризованное', 'Милкивей', 'Бородинский', 'Бочка'}",339.0
"{'Козел', 'Дирол', 'Кент'}",375.0
"{'Яблоко', 'Помидоры'}",200.0
"{'Огурцы', 'Козел', 'Домашний'}",291.0
"{'Ласточка', 'Молоко пастеризованное', 'Домашний'}",492.0
"{'Дирол', 'Твикс'}",210.0
"{'Дирол', 'Кент'}",400.0
"{'Молоко парное', 'Огурцы', 'Домашний'}",306.0
"{'Молоко ультрапастеризованное', 'Домашний', 'Помидоры'}",296.0
"{'Козел', 'Кент'}",275.0
"{'Марс', 'Яблоко'}",190.0
"{'Огурцы', 'Дирол', 'Молоко пастеризованное'}",300.0
"{'Огурцы', 'Яблоко', 'Молоко пастеризованное'}",240.0
"{'Огурцы', 'Дирол', 'Кент'}",430.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Молоко парное', 'Молоко пастеризованное', 'Твикс', 'Домашний'}",356.0
"{'Донской табак', 'Дирол', 'Кент'}",440.0
"{'Апельсин', 'Киткат'}",155.0
"{'Дирол', 'Козел', 'Бородинский'}",204.0
"{'Молоко парное', 'Огурцы', 'Молоко пастеризованное'}",290.0
"{'Ласточка', 'Дирол'}",350.0
"{'Молоко парное', 'Огурцы', 'Твикс'}",330.0
"{'Козел', 'Домашний', 'Кент'}",361.0
"{'Апельсин', 'Твикс', 'Молоко ультрапастеризованное', 'Домашний'}",296.0
"{'Козел', 'Дирол', 'Кент'}",375.0
"{'Жатецкий гусь', 'Бородинский'}",209.0
"{'Степ', 'Дирол'}",200.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Апельсин', 'Степ'}",150.0
"{'Дирол', 'Твикс'}",210.0
"{'Яблоко', 'Милкивей'}",220.0
"{'Яблоко', 'Помидоры'}",200.0
"{'Дирол', 'Кент'}",500.0
"{'Козел', 'Домашний'}",247.0
"{'Ласточка', 'Молоко пастеризованное', 'Домашний', 'Огурцы'}",536.0
"{'Дирол', 'Твикс'}",210.0
"{'Молоко парное', 'Донской табак', 'Дирол'}",330.0
"{'Степ', 'Дирол'}",200.0
"{'Дирол', 'Твикс'}",210.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Жатецкий гусь', 'Дирол', 'Домашний'}",276.0
"{'Козел', 'Мандарин', 'Домашний'}",221.0
"{'Марс', 'Дирол'}",250.0
"{'Ласточка', 'Яблоко'}",290.0
"{'Огурцы', 'Мандарин'}",190.0
"{'Молоко пастеризованное', 'Дирол', 'Помидоры'}",330.0
"{'Марс', 'Дирол', 'Кент'}",450.0
"{'Яблоко', 'Киткат'}",145.0
"{'Ласточка', 'Дирол'}",350.0
"{'Апельсин', 'Помидоры'}",210.0
"{'Дирол', 'Твикс'}",210.0
"{'Киткат', 'Дирол'}",205.0
"{'Жатецкий гусь', 'Дирол', 'Кент'}",390.0
"{'Молоко парное', 'Капуста', 'Жатецкий гусь'}",420.0
"{'Молоко пастеризованное', 'Милкивей', 'Бородинский', 'Домашний'}",365.0
"{'Козел', 'Донской табак'}",215.0
"{'Молоко пастеризованное', 'Козел', 'Домашний'}",231.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Марс', 'Дирол'}",250.0
"{'Яблоко', 'Зелень'}",70.0
"{'Марс', 'Молоко пастеризованное', 'Молоко ультрапастеризованное', 'Домашний'}",356.0
"{'Огурцы', 'Мандарин'}",190.0
"{'Апельсин', 'Огурцы'}",180.0
"{'Огурцы', 'Донской табак', 'Дирол'}",370.0
"{'Апельсин', 'Капуста'}",290.0
"{'Апельсин', 'Твикс'}",160.0
"{'Апельсин', 'Огурцы'}",180.0
"{'Степ', 'Дирол'}",200.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Яблоко', 'Твикс'}",150.0
"{'Козел', 'Домашний'}",247.0
"{'Апельсин', 'Степ'}",150.0
"{'Степ', 'Жатецкий гусь', 'Домашний'}",276.0
"{'Степ', 'Яблоко'}",140.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Молоко пастеризованное', 'Степ', 'Бородинский'}",269.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Киткат', 'Молоко ультрапастеризованное', 'Домашний', 'Кент'}",441.0
"{'Молоко парное', 'Степ', 'Капуста'}",430.0
"{'Ласточка', 'Дирол'}",350.0
